index,type,name,resident,streamed,parentStack
24,image,$identitynormalmap,302,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
25,image,$white_gloss,213,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
26,image,$camo_base_mask,280,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
27,image,$camo_base_normal,322,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
28,material,mc/mtl_t7_ba_hare_extras,1894,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
29,techset,mc/lit_emissive_plus#e6142445,805566,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
30,image,i_t7_ba_hare_shoes_c,69,5636096,|mc/mtl_t7_ba_hare_shoes|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
31,material,mc/mtl_t7_ba_hare_shoes,1229,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
32,techset,mc/cloth#e6142445,329162,0,|mc/mtl_t7_ba_outline|material|c_t7_zm_dlchd_moon_pressuresuit_takeo_mpc|xmodel|zone_source/core_mod.zone|csv
33,image,$black,127,0,|mc/mtl_t7_ba_outline|material|c_t7_zm_dlchd_moon_pressuresuit_takeo_mpc|xmodel|zone_source/core_mod.zone|csv
34,image,$black_color,269,0,|mc/global_invisible|material|tag_origin|xmodel|default|playerhead|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
35,image,$white_multimask,329,0,|mc/mtl_t7_ba_outline|material|c_t7_zm_dlchd_moon_pressuresuit_takeo_mpc|xmodel|zone_source/core_mod.zone|csv
36,material,mc/mtl_t7_ba_outline,1265,0,|c_t7_zm_dlchd_moon_pressuresuit_takeo_mpc|xmodel|zone_source/core_mod.zone|csv
37,image,i_t7_ba_hare_hair_c,180,5636096,|mc/mtl_t7_ba_hare_hair|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
38,material,mc/mtl_t7_ba_hare_hair,860,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
39,image,i_t7_ba_hare_face_c,276,5636096,|mc/mtl_t7_ba_hare_face|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
40,material,mc/mtl_t7_ba_hare_face,860,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
41,image,i_t7_ba_hare_eyes_c,276,5636096,|mc/mtl_t7_ba_hare_eyes|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
42,material,mc/mtl_t7_ba_hare_eyes,1052,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
43,image,i_t7_ba_hare_face_extras_c,283,5636096,|mc/mtl_t7_ba_hare_face_extras|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
44,material,mc/mtl_t7_ba_hare_face_extras,869,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
45,image,i_t7_ba_hare_body_c,276,5636096,|mc/mtl_t7_ba_hare_body|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
46,material,mc/mtl_t7_ba_hare_body,860,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
47,image,i_t7_ba_hare_jacket_c,278,5636096,|mc/mtl_t7_ba_hare_jacket|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
48,material,mc/mtl_t7_ba_hare_jacket,858,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
49,image,i_t7_ba_hare_labcoat_c,279,1441792,|mc/mtl_t7_ba_hare_labcoat|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
50,material,mc/mtl_t7_ba_hare_labcoat,857,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
51,image,i_t7_ba_hare_halo_c,5748,0,|mc/mtl_t7_ba_hare_halo|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
52,material,mc/mtl_t7_ba_hare_halo,860,0,|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
53,xmodelmesh,t7_ba_hare_fb8660df2b,1664,3160272,|c_zom_dlc3_dempsey_mpc_fb|xmodel|zone_source/core_mod.zone|csv
54,xmodel,c_54i_cqb_mpc_fb_fe,10920,0,|zone_source/core_mod.zone|csv
55,techset,2d_blend#da7372ff,33600,0,|ba_logo|material|zone_source/core_mod.zone|csv
56,image,uie_img_t7_menu_frontend_asset_bo3logo,828223,0,|zone_source/core_mod.zone|csv
57,material,ba_logo,57,0,|zone_source/core_mod.zone|csv
58,stringtable,gamedata/ba/nametable.csv,664,0,|zone_source/core_mod.zone|csv
59,stringtable,gamedata/stats/zm/zm_statstable.csv,74422,0,|zone_source/core_mod.zone|csv
60,stringtable,gamedata/stats/zm/statsmilestones3.csv,508,0,|zone_source/core_mod.zone|csv
61,stringtable,gamedata/tables/zm/scoreinfo.csv,54212,0,|zone_source/core_mod.zone|csv
62,scriptparsetree,scripts/ba/_load.gsc,1047,0,|zone_source/core_mod.zone|csv
63,scriptparsetree,scripts/ba/_load.csc,664,0,|zone_source/core_mod.zone|csv
64,scriptparsetree,scripts/ba/character.gsc,3392,0,|zone_source/core_mod.zone|csv
65,scriptparsetree,scripts/ba/character_util.gsc,5616,0,|zone_source/core_mod.zone|csv
66,scriptparsetree,scripts/ba/spawner_util.gsc,1248,0,|zone_source/core_mod.zone|csv
67,scriptparsetree,scripts/ba/_chat_notify.gsc,6464,0,|zone_source/core_mod.zone|csv
68,scriptparsetree,scripts/ba/thirdperson.csc,5142,0,|zone_source/core_mod.zone|csv
69,scriptparsetree,scripts/ba/thirdperson.gsc,2430,0,|zone_source/core_mod.zone|csv
70,scriptparsetree,scripts/ba/clientsystem.csc,1784,0,|zone_source/core_mod.zone|csv
71,scriptparsetree,scripts/ba/clientsystem.gsc,1276,0,|zone_source/core_mod.zone|csv
72,scriptparsetree,scripts/ba/core_util.gsc,2288,0,|zone_source/core_mod.zone|csv
73,scriptparsetree,scripts/core/frontend_cam_override.csc,21112,0,|zone_source/core_mod.zone|csv
74,scriptparsetree,scripts/shared/lui_shared.csc,10812,0,|zone_source/core_mod.zone|csv
75,scriptparsetree,scripts/shared/load_shared.gsc,17580,0,|zone_source/core_mod.zone|csv
76,scriptparsetree,scripts/shared/load_shared.csc,768,0,|zone_source/core_mod.zone|csv
77,scriptparsetree,scripts/core/core_frontend_fx.gsc,1576,0,|zone_source/core_mod.zone|csv
78,rawfile,ui/util/t7overcharged.lua,1701,0,|zone_source/core_mod.zone|csv
79,rawfile,ui/util/t7overchargedutil.lua,617,0,|zone_source/core_mod.zone|csv
80,rawfile,ui/util/json.lua,7303,0,|zone_source/core_mod.zone|csv
81,rawfile,ui/uieditor/menus/zm/zmmapselection.lua,19532,0,|zone_source/core_mod.zone|csv
82,rawfile,ui/uieditor/menus/lobby/common/popups/bonusmodesflyout.lua,13897,0,|zone_source/core_mod.zone|csv
83,rawfile,ui/uieditor/menus/lobby/common/popups/gamesettingsflyoutmp.lua,11412,0,|zone_source/core_mod.zone|csv
84,rawfile,ui/uieditor/widgets/lobby/common/fe_3dtitleinternal.lua,18046,0,|zone_source/core_mod.zone|csv
85,rawfile,ui/uieditor/widgets/lobby/common/fe_3dtitlecontainer.lua,95879,0,|zone_source/core_mod.zone|csv
86,rawfile,ui/uieditor/widgets/lobby/common/fe_talkerswidget.lua,3057,0,|ui/uieditor/widgets/lobby/common/fe_talkerswidget.luac|rawfile|zone_source/core_mod.zone|csv
87,rawfile,ui/uieditor/widgets/lobby/common/fe_talkerwidgetbase.lua,3664,0,|ui/uieditor/widgets/lobby/common/fe_talkerwidgetbase.luac|rawfile|zone_source/core_mod.zone|csv
88,rawfile,ui/uieditor/datasources.lua,11912,0,|zone_source/core_mod.zone|csv
89,rawfile,ui/uieditor/datasources_og.lua,731955,0,|ui/uieditor/datasources_og.luac|rawfile|zone_source/core_mod.zone|csv
90,rawfile,ui/uieditor/actions.lua,11320,0,|zone_source/core_mod.zone|csv
91,rawfile,ui/uieditor/actions_og.lua,704031,0,|ui/uieditor/actions_og.luac|rawfile|zone_source/core_mod.zone|csv
92,rawfile,ui/uieditor/conditions.lua,3394,0,|zone_source/core_mod.zone|csv
93,rawfile,ui/uieditor/conditions_og.lua,399265,0,|ui/uieditor/conditions_og.luac|rawfile|zone_source/core_mod.zone|csv
94,rawfile,ui/uieditor/modifyfunctions.lua,2843,0,|zone_source/core_mod.zone|csv
95,rawfile,ui/uieditor/modifyfunctions_og.lua,149840,0,|ui/uieditor/modifyfunctions_og.luac|rawfile|zone_source/core_mod.zone|csv
96,rawfile,lua/shared/codshared.lua,15413,0,|zone_source/core_mod.zone|csv
97,rawfile,ui/t7/utility/ccutility.lua,26805,0,|zone_source/core_mod.zone|csv
98,rawfile,ui/t7/utility/ccutility_og.lua,69305,0,|ui/t7/utility/ccutility_og.luac|rawfile|zone_source/core_mod.zone|csv
99,rawfile,ui/t7/utility/lobbyutility.lua,1332,0,|zone_source/core_mod.zone|csv
100,rawfile,ui/t7/utility/lobbyutility_og.lua,16174,0,|ui/t7/utility/lobbyutility_og.luac|rawfile|zone_source/core_mod.zone|csv
101,rawfile,ui_mp/t6/hud.lua,6300,0,|zone_source/core_mod.zone|csv
102,rawfile,ui_mp/t6/hud_og.lua,66520,0,|ui_mp/t6/hud_og.luac|rawfile|zone_source/core_mod.zone|csv
103,rawfile,ui_mp/t6/hud/loading.lua,21048,0,|zone_source/core_mod.zone|csv
104,rawfile,ui_mp/t6/hud/loading_og.lua,31706,0,|ui_mp/t6/hud/loading_og.luac|rawfile|zone_source/core_mod.zone|csv
105,rawfile,ui/uieditor/menus/charactercustomization/personalizecharacter.lua,40908,0,|zone_source/core_mod.zone|csv
106,rawfile,ui/uieditor/menus/charactercustomization/choosezmcharacterloadout.lua,25399,0,|zone_source/core_mod.zone|csv
107,rawfile,ui/uieditor/menus/charactercustomization/choosezmcharacterloadout_ingame.lua,16678,0,|zone_source/core_mod.zone|csv
108,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutcarouselitem_ingame.lua,8750,0,|zone_source/core_mod.zone|csv
109,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutcarouselitem_internal_ingame.lua,6721,0,|zone_source/core_mod.zone|csv
110,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutcarouselitem_infoarea_ingame.lua,13354,0,|zone_source/core_mod.zone|csv
111,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacter_loadoutlistitem_ingame.lua,20082,0,|zone_source/core_mod.zone|csv
112,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacter_loadoutlistitem_mousehovericon.lua,4791,0,|ui/uieditor/widgets/charactercustomization/choosecharacter_loadoutlistitem_mousehovericon.luac|rawfile|zone_source/core_mod.zone|csv
113,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacter_tabbar.lua,7879,0,|ui/uieditor/widgets/charactercustomization/choosecharacter_tabbar.luac|rawfile|zone_source/core_mod.zone|csv
114,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutbumper.lua,2589,0,|ui/uieditor/widgets/charactercustomization/choosecharacterloadoutbumper.luac|rawfile|zone_source/core_mod.zone|csv
115,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutbumper_internal.lua,3041,0,|ui/uieditor/widgets/charactercustomization/choosecharacterloadoutbumper_internal.luac|rawfile|zone_source/core_mod.zone|csv
116,rawfile,ui/uieditor/widgets/charactercustomization/choosecharacterloadoutcarouselitem_infoareaweapon.lua,2039,0,|ui/uieditor/widgets/charactercustomization/choosecharacterloadoutcarouselitem_infoareaweapon.luac|rawfile|zone_source/core_mod.zone|csv
117,rawfile,ui/uieditor/widgets/charactercustomization/smallframewithbg.lua,1711,0,|ui/uieditor/widgets/charactercustomization/smallframewithbg.luac|rawfile|zone_source/core_mod.zone|csv
118,rawfile,ui/uieditor/widgets/pc/choosecharacter/characterminiselector_ingame.lua,7571,0,|zone_source/core_mod.zone|csv
119,rawfile,ui/uieditor/widgets/pc/choosecharacter/characterminiselectoritem.lua,3063,0,|ui/uieditor/widgets/pc/choosecharacter/characterminiselectoritem.luac|rawfile|zone_source/core_mod.zone|csv
120,rawfile,ui/uieditor/widgets/pc/choosecharacter/characterminiselectorleftbutton.lua,3065,0,|ui/uieditor/widgets/pc/choosecharacter/characterminiselectorleftbutton.luac|rawfile|zone_source/core_mod.zone|csv
121,rawfile,ui/uieditor/widgets/pc/choosecharacter/characterminiselectorrightbutton.lua,3108,0,|ui/uieditor/widgets/pc/choosecharacter/characterminiselectorrightbutton.luac|rawfile|zone_source/core_mod.zone|csv
122,rawfile,ui/uieditor/widgets/pc/choosecharacter/choosecharacter_cardclickbutton.lua,3089,0,|ui/uieditor/widgets/pc/choosecharacter/choosecharacter_cardclickbutton.luac|rawfile|zone_source/core_mod.zone|csv
123,rawfile,ui/uieditor/widgets/cac/menuselectscreen/weaponnamewidget.lua,4554,0,|ui/uieditor/widgets/cac/menuselectscreen/weaponnamewidget.luac|rawfile|zone_source/core_mod.zone|csv
124,rawfile,ui/uieditor/widgets/startmenu/startmenu_gameoptions_zm.lua,8048,0,|zone_source/core_mod.zone|csv
125,rawfile,ui/uieditor/menus/cac/chooseclass_ingame.lua,30709,0,|zone_source/core_mod.zone|csv
126,rawfile,ui/hudinject/hudinject.lua,5578,0,|zone_source/core_mod.zone|csv
127,rawfile,ui/t7/utility/savingdatautility.lua,5151,0,|zone_source/core_mod.zone|csv
128,rawfile,ui/t7/utility/codutilityrequire.lua,2006,0,|zone_source/core_mod.zone|csv
129,rawfile,ui/t6/lobby/lobbymenubuttons.lua,23442,0,|zone_source/core_mod.zone|csv
130,rawfile,ui/t6/lobby/lobbymenus.lua,27274,0,|zone_source/core_mod.zone|csv
131,rawfile,ui/uieditor/widgets/startmenu/tfoptions_checkboxoption.lua,12588,0,|zone_source/core_mod.zone|csv
132,rawfile,ui/uieditor/widgets/startmenu/tfoptions_navbutton.lua,8435,0,|zone_source/core_mod.zone|csv
133,rawfile,ui/uieditor/widgets/pc/startmenu/dropdown/tfoptiondropdown.lua,15632,0,|zone_source/core_mod.zone|csv
134,rawfile,ui/uieditor/widgets/pc/startmenu/dropdown/tfoptiondropdownitem.lua,5382,0,|zone_source/core_mod.zone|csv
135,rawfile,ui/t7/utility/tfpcutility.lua,28484,0,|zone_source/core_mod.zone|csv
136,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_p1.lua,5151,0,|zone_source/core_mod.zone|csv
137,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_p3.lua,3596,0,|zone_source/core_mod.zone|csv
138,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_p2.lua,3600,0,|zone_source/core_mod.zone|csv
139,rawfile,ui/uieditor/menus/pc/tfoptions.lua,14350,0,|zone_source/core_mod.zone|csv
140,rawfile,ui/uieditor/menus/pc/tfoptions_powerups.lua,11710,0,|zone_source/core_mod.zone|csv
141,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_powerups_p1.lua,3700,0,|zone_source/core_mod.zone|csv
142,rawfile,ui/uieditor/menus/pc/tfoptions_perks.lua,9065,0,|zone_source/core_mod.zone|csv
143,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_perks_p1.lua,3695,0,|zone_source/core_mod.zone|csv
144,rawfile,ui/uieditor/menus/pc/tfoptions_weapons.lua,9267,0,|zone_source/core_mod.zone|csv
145,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_weapons_p1.lua,3697,0,|zone_source/core_mod.zone|csv
146,rawfile,ui/uieditor/menus/pc/tfoptions_roamer.lua,8978,0,|zone_source/core_mod.zone|csv
147,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_roamer_p1.lua,3690,0,|zone_source/core_mod.zone|csv
148,rawfile,ui/uieditor/menus/pc/tfoptions_zombies.lua,10423,0,|zone_source/core_mod.zone|csv
149,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_zombies_p1.lua,3693,0,|zone_source/core_mod.zone|csv
150,rawfile,ui/uieditor/menus/pc/tfoptions_game.lua,11296,0,|zone_source/core_mod.zone|csv
151,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_game_p1.lua,3688,0,|zone_source/core_mod.zone|csv
152,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_game_p2.lua,3680,0,|zone_source/core_mod.zone|csv
153,rawfile,ui/uieditor/menus/pc/tfoptions_player.lua,11650,0,|zone_source/core_mod.zone|csv
154,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_player_p1.lua,3682,0,|zone_source/core_mod.zone|csv
155,rawfile,ui/uieditor/menus/pc/tfoptions_bot.lua,8371,0,|zone_source/core_mod.zone|csv
156,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_bot_p1.lua,3681,0,|zone_source/core_mod.zone|csv
157,rawfile,ui/uieditor/menus/pc/tfoptions_bgb.lua,9883,0,|zone_source/core_mod.zone|csv
158,rawfile,ui/uieditor/widgets/pc/tfoptions/tfoptions_bgb_p1.lua,3669,0,|zone_source/core_mod.zone|csv
159,rawfile,ui/uieditor/menus/ba/modinfo.lua,10324,0,|zone_source/core_mod.zone|csv
160,rawfile,ui/uieditor/widgets/ba/modinfop1.lua,1916,0,|zone_source/core_mod.zone|csv
161,rawfile,ui/uieditor/widgets/ba/modinfofaqpage.lua,3660,0,|zone_source/core_mod.zone|csv
162,rawfile,ui/uieditor/widgets/ba/modinfousefullinkspage.lua,3688,0,|zone_source/core_mod.zone|csv
163,rawfile,ui/uieditor/menus/core_frontend_patch_require.lua,30442,0,|zone_source/core_mod.zone|csv
164,rawfile,ui/uieditor/menus/core_ui_require.lua,7455,0,|zone_source/core_mod.zone|csv
165,rawfile,ui/uieditor/widgets/ba/hud/thirdpersoncrosshair.lua,3311,0,|zone_source/core_mod.zone|csv
166,rawfile,ui/uieditor/widgets/mphudwidgets/scorepopup/mpscr.lua,22362,0,|zone_source/core_mod.zone|csv
167,rawfile,ui/uieditor/widgets/mphudwidgets/scorepopup/mpscrfeeditem.lua,4991,0,|zone_source/core_mod.zone|csv
168,rawfile,ui/uieditor/widgets/hud/zm_notiffactory/zmnotificationcontainer.lua,126950,0,|zone_source/core_mod.zone|csv
169,rawfile,ui/uieditor/widgets/hud/aae_t9_zombie_health_bar/aae_t9_zombie_health_bar_container.lua,3700,0,|zone_source/core_mod.zone|csv
170,rawfile,ui/uieditor/widgets/hud/aae_t9_zombie_health_bar/aae_t9_zombie_health_bar.lua,2167,0,|zone_source/core_mod.zone|csv
171,rawfile,ui/uieditor/widgets/hud/aae_t9_zombie_health_bar/aae_t9_zombie_health_bar_the_bar.lua,8562,0,|zone_source/core_mod.zone|csv
172,surfacesounddef,jumptakeoff_surface_plr,24,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
173,surfacesounddef,leaptakeoff_plr,16,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
174,surfacesounddef,fallimpact_slow_surface,24,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
175,surfacesounddef,fallimpact_medium_surface,26,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
176,surfacesounddef,fallimpact_fast_surface,24,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
177,surfacesounddef,fallimpact_rapid_surface,25,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
178,surfacesounddef,wallrunstart_surface,21,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
179,surfacesounddef,slidestart_surface,19,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
180,surfacesounddef,wallrunloop_plr,16,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
181,surfacesounddef,wallrunend_surface,19,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
182,surfacesounddef,wallrunfootstep,16,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
183,surfacesounddef,wallrunfallstep_plr,20,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
184,surfacesounddef,crouchtoprone_plr,18,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
185,surfacesounddef,prone2crouch_plr_surface,25,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
186,surfacesounddef,jumptakeoffthirdperson_surface,31,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
187,surfacesounddef,leaptakeoff_npc,16,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
188,surfacesounddef,fallimpact_npc,15,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
189,surfacesounddef,wallrunstart_surface_npc,25,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
190,surfacesounddef,slidestart_surface_npc,23,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
191,surfacesounddef,wallrunend_surface_npc,23,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
192,surfacesounddef,wallrunfootstep_npc,20,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
193,surfacesounddef,wallrunfallstep_npc,20,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
194,surfacesounddef,crouchtoprone_npc,18,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
195,surfacesounddef,pronetocrouch_npc,18,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
196,material,ei/gfx_fog_slow_md_anim_lit,62,0,|player/fx_plyr_footstep_dust_dirt|fx|player_footstep|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
197,material,ei/gfx_fog_slow_lg_anim_lit,64,0,|player/fx_plyr_land_dust_md_dirt|fx|player_land|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
198,fx,player/fx_plyr_hand_wallrun_dust,4472,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
199,fx,player/fx_plyr_footstep_dust,3472,0,|player_footstep|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
200,material,ei/gfx_fog_slow_sm_anim_lit,64,0,|player/fx_plyr_footstep_dust_dirt|fx|player_footstep|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
201,fx,player/fx_plyr_footstep_dust_dirt,3208,0,|player_footstep|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
202,surfacefxtable,player_footstep,16,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
203,fx,player/fx_plyr_land_dust_md,4672,0,|player_land|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
204,fx,player/fx_plyr_land_dust_md_dirt,3336,0,|player_land|surfacefxtable|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
205,surfacefxtable,player_land,12,0,|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
